Total population,Total households,PCT WHITE COLLAR,PCT BLUE COLLAR,Median income,Mean income,id,Geographic Area Name
5590,1885,50.1,49.9,48109,52513,1400000US48027022103,"Census Tract 221.03, Bell County, Texas"
4320,2138,57.3,42.6,37956,50304,1400000US48027022104,"Census Tract 221.04, Bell County, Texas"
1844,897,42.5,57.5,49744,55281,1400000US48027022105,"Census Tract 221.05, Bell County, Texas"
3365,1730,46.8,53.1,38574,44432,1400000US48027022200,"Census Tract 222, Bell County, Texas"
3751,2197,59.1,41,36205,59358,1400000US48027022300,"Census Tract 223, Bell County, Texas"
5169,2231,55.3,44.7,46686,55859,1400000US48027022401,"Census Tract 224.01, Bell County, Texas"
1648,564,61.7,38.3,71267,72511,1400000US48027022402,"Census Tract 224.02, Bell County, Texas"
4138,1752,65.3,34.8,56586,59585,1400000US48027022403,"Census Tract 224.03, Bell County, Texas"
6966,2388,60.6,39.4,64479,66709,1400000US48027022404,"Census Tract 224.04, Bell County, Texas"
1824,1063,40.4,59.5,37060,40251,1400000US48027022405,"Census Tract 224.05, Bell County, Texas"
4233,1620,52.4,47.6,38589,64271,1400000US48027022501,"Census Tract 225.01, Bell County, Texas"
8478,3109,63.5,36.5,63892,68491,1400000US48027022502,"Census Tract 225.02, Bell County, Texas"
4990,2409,30.6,69.5,28730,31559,1400000US48027022600,"Census Tract 226, Bell County, Texas"
2874,1832,40.8,59.2,24114,31511,1400000US48027022801,"Census Tract 228.01, Bell County, Texas"
3574,2176,31.5,68.4,28974,31838,1400000US48027022900,"Census Tract 229, Bell County, Texas"
5579,2795,66.7,33.3,57168,64078,1400000US48027023000,"Census Tract 230, Bell County, Texas"
4296,1967,54,46.1,43861,54249,1400000US48027023103,"Census Tract 231.03, Bell County, Texas"
3895,1560,44.3,55.7,41389,46941,1400000US48027023104,"Census Tract 231.04, Bell County, Texas"
4625,1586,59.6,40.4,50908,53262,1400000US48027023105,"Census Tract 231.05, Bell County, Texas"
8869,3232,57.5,42.5,53683,57659,1400000US48027023106,"Census Tract 231.06, Bell County, Texas"
7267,2935,56.8,43.2,44593,54316,1400000US48027023107,"Census Tract 231.07, Bell County, Texas"
14748,5117,55.9,44.1,50156,55243,1400000US48027023108,"Census Tract 231.08, Bell County, Texas"
